problem;trial;r2_train;r2_test;seed
527_analcatdata_election2000;1;0.999144300466917;0.9992466998816497;29802
527_analcatdata_election2000;2;0.9990232530092271;0.9999001075256554;22118
527_analcatdata_election2000;3;0.9982151774035286;0.9937212875652638;860
527_analcatdata_election2000;4;0.9979184613781954;0.9950720047228613;15795
527_analcatdata_election2000;5;0.9977115019194641;0.9809805075037978;21575
527_analcatdata_election2000;6;0.9997656762303844;0.9945511921405661;5390
527_analcatdata_election2000;7;0.9977647930464765;0.9956179204909892;11964
527_analcatdata_election2000;8;0.996513739803008;0.990214315771051;6265
527_analcatdata_election2000;9;0.9972831883429463;0.9885665336066449;23654
527_analcatdata_election2000;10;0.9991493426875013;0.999529378889726;11284
