problem;trial;r2_train;r2_test;seed
523_analcatdata_neavote;1;0.9582300334612134;0.9386714303591461;29802
523_analcatdata_neavote;2;0.9627687226172532;0.9133853584370757;22118
523_analcatdata_neavote;3;0.9637411693056734;0.911374339211446;860
523_analcatdata_neavote;4;0.9536128203238623;0.9484574870389554;15795
523_analcatdata_neavote;5;0.9510933864516817;0.9556431967005392;21575
523_analcatdata_neavote;6;0.9469477274013106;0.9694100916316685;5390
523_analcatdata_neavote;7;0.9642334093436403;0.9029949961245595;11964
523_analcatdata_neavote;8;0.9475894369194252;0.8977943324063037;6265
523_analcatdata_neavote;9;0.9519030023943703;0.9507636348966814;23654
523_analcatdata_neavote;10;0.9466394799975569;0.9749431974558286;11284
